Operacion,Entrada,Salida_Fecha,Motivo,PnL_Total,Balance,Drawdown_Act,MFE_Pips,MAE_Pips,Parcial_Hit
Buy,2025-01-02 08:00:00,2025-01-02 10:15:00,Stop_Loss,-71.45,9923.28,0.77,9.4,9.8,False
Buy,2025-01-03 07:05:00,2025-01-03 11:20:00,Take_Profit,198.81,10113.48,0.0,31.0,3.4,True
Buy,2025-01-06 07:05:00,2025-01-06 07:55:00,Stop_Loss,-73.93,10028.24,0.84,3.5,6.1,False
Sell,2025-01-06 15:30:00,2025-01-10 15:30:00,Take_Profit,209.03,10235.85,0.0,209.3,12.2,True
Sell,2025-01-13 08:15:00,2025-01-14 07:00:00,BE_Matematico,-1.03,10231.13,0.35,45.0,29.6,True
Buy,2025-01-15 07:05:00,2025-01-15 07:55:00,BE_Matematico,-3.35,10215.71,0.5,6.3,6.7,True
Buy,2025-01-20 08:00:00,2025-01-20 15:30:00,Take_Profit,204.53,10411.23,0.0,97.4,0.7,True
Buy,2025-01-24 07:25:00,2025-01-24 10:15:00,Take_Profit,212.04,10617.24,0.0,43.1,2.6,True
Buy,2025-01-24 13:30:00,2025-01-24 15:15:00,Stop_Loss,-75.43,10537.74,0.75,8.0,15.2,False
Sell,2025-01-27 15:40:00,2025-01-28 10:30:00,Take_Profit,218.26,10753.22,0.0,97.1,7.5,True
Sell,2025-01-31 07:55:00,2025-01-31 08:45:00,Stop_Loss,-77.87,10665.91,0.81,1.3,6.8,False
Sell,2025-01-31 09:00:00,2025-01-31 09:30:00,Stop_Loss,-76.13,10584.46,1.57,2.0,11.7,False
Sell,2025-02-03 09:00:00,2025-02-03 14:20:00,BE_Matematico,-1.17,10579.1,1.62,34.4,16.4,True
Buy,2025-02-05 07:20:00,2025-02-05 11:15:00,Take_Profit,215.14,10787.87,0.0,41.5,3.2,True
Sell,2025-02-05 14:50:00,2025-02-06 09:50:00,Take_Profit,219.18,11000.33,0.0,42.1,6.3,True
Sell,2025-02-06 13:25:00,2025-02-07 07:00:00,BE_Matematico,-1.61,10992.87,0.36,14.6,14.6,True
Sell,2025-02-10 07:40:00,2025-02-10 11:00:00,BE_Matematico,-1.99,10983.68,0.44,12.4,9.9,True
Sell,2025-02-11 08:10:00,2025-02-11 10:40:00,BE_Matematico,-3.03,10969.73,0.57,5.8,10.3,True
Sell,2025-02-12 08:10:00,2025-02-12 09:15:00,Stop_Loss,-80.01,10878.02,1.4,3.0,6.3,False
Sell,2025-02-12 13:10:00,2025-02-12 15:30:00,Take_Profit,221.9,11093.99,0.0,60.0,8.8,True
Sell,2025-02-13 07:55:00,2025-02-13 15:30:00,Take_Profit,227.78,11317.02,0.0,59.6,5.2,True
Buy,2025-02-14 12:25:00,2025-02-14 13:00:00,Stop_Loss,-80.64,11231.18,0.76,3.0,12.0,False
Sell,2025-02-18 08:20:00,2025-02-18 09:00:00,Stop_Loss,-81.06,11141.18,1.55,3.1,7.0,False
Sell,2025-02-18 16:25:00,2025-02-21 07:00:00,BE_Matematico,-1.12,11135.95,1.6,33.3,48.6,True
Buy,2025-02-21 07:05:00,2025-02-21 10:15:00,Stop_Loss,-79.91,11048.84,2.37,4.2,27.4,False
Buy,2025-02-24 07:00:00,2025-02-24 08:45:00,Stop_Loss,-79.14,10963.08,3.13,6.8,11.7,False
Sell,2025-02-27 09:10:00,2025-02-27 09:45:00,Stop_Loss,-78.4,10878.59,3.87,0.6,9.3,False
Buy,2025-02-28 08:30:00,2025-02-28 15:20:00,Take_Profit,218.87,11088.76,2.02,31.1,2.1,True
Sell,2025-03-03 15:50:00,2025-03-03 16:30:00,Stop_Loss,-78.76,11005.83,2.75,5.6,14.2,False
Sell,2025-03-03 16:50:00,2025-03-04 10:25:00,Stop_Loss,-77.66,10925.92,3.46,15.5,30.4,False
Buy,2025-03-04 15:20:00,2025-03-05 10:15:00,Take_Profit,227.34,11151.32,1.46,147.0,20.3,True
Buy,2025-03-05 13:50:00,2025-03-06 07:00:00,Take_Profit,231.66,11380.64,0.0,123.8,6.4,True
Sell,2025-03-06 07:30:00,2025-03-06 15:15:00,BE_Matematico,-0.85,11376.57,0.35,25.6,39.4,True
Buy,2025-03-07 08:05:00,2025-03-07 10:30:00,Take_Profit,231.89,11601.83,0.0,46.8,0.3,True
Buy,2025-03-07 13:05:00,2025-03-10 07:00:00,BE_Matematico,-1.02,11596.95,0.35,41.0,16.6,True
Sell,2025-03-11 15:00:00,2025-03-18 10:55:00,BE_Matematico,-0.7,11593.57,0.38,86.9,27.4,True
Buy,2025-03-18 13:15:00,2025-03-18 13:30:00,Stop_Loss,-82.51,11505.86,1.14,0.0,12.8,False
Buy,2025-03-20 10:10:00,2025-03-20 10:25:00,Stop_Loss,-82.43,11416.22,1.91,0.3,11.3,False
Sell,2025-03-21 10:20:00,2025-03-21 14:50:00,Stop_Loss,-81.01,11331.03,2.64,9.4,15.6,False
Buy,2025-03-24 11:00:00,2025-03-24 15:15:00,BE_Matematico,-1.15,11325.52,2.69,20.6,14.9,True
Sell,2025-03-26 08:55:00,2025-03-26 11:05:00,Stop_Loss,-81.33,11236.44,3.45,3.8,8.7,False
Buy,2025-03-27 16:05:00,2025-03-28 12:20:00,Stop_Loss,-79.67,11152.93,4.17,14.4,15.5,False
Buy,2025-03-31 07:35:00,2025-03-31 09:00:00,BE_Matematico,-1.87,11143.98,4.25,9.2,8.8,True
Buy,2025-03-31 09:05:00,2025-03-31 11:20:00,BE_Matematico,-1.07,11138.86,4.29,18.6,14.8,True
Sell,2025-04-01 16:30:00,2025-04-02 12:45:00,BE_Matematico,-1.18,11133.2,4.34,13.3,13.2,True
Buy,2025-04-03 07:00:00,2025-04-03 09:35:00,Take_Profit,229.31,11358.22,2.4,68.8,7.8,True
Sell,2025-04-03 13:05:00,2025-04-03 13:10:00,Stop_Loss,-79.74,11277.56,3.1,0.0,89.5,False
Sell,2025-04-03 15:50:00,2025-04-11 07:00:00,BE_Matematico,-0.29,11276.13,3.11,182.8,247.3,True
Buy,2025-04-11 08:00:00,2025-04-11 09:00:00,Stop_Loss,-79.3,11195.35,3.8,4.2,43.4,False
Sell,2025-04-11 15:30:00,2025-04-11 15:55:00,Stop_Loss,-78.75,11115.09,4.49,15.7,44.4,False
Buy,2025-04-14 15:00:00,2025-04-14 15:20:00,Stop_Loss,-78.39,11034.39,5.19,1.3,30.8,False
Sell,2025-04-16 08:00:00,2025-04-16 08:50:00,Stop_Loss,-78.32,10951.8,5.9,4.2,16.0,False
Buy,2025-04-16 11:25:00,2025-04-17 15:20:00,Stop_Loss,-77.17,10872.61,6.58,20.5,33.0,False
Sell,2025-04-21 08:30:00,2025-04-21 10:55:00,BE_Matematico,-0.53,10869.96,6.6,29.0,33.9,True
Sell,2025-04-21 12:15:00,2025-04-23 07:00:00,Take_Profit,226.48,11094.62,4.67,191.1,8.4,True
Sell,2025-04-23 09:05:00,2025-04-23 12:00:00,Stop_Loss,-78.33,11013.62,5.37,18.5,38.1,False
Buy,2025-04-24 08:40:00,2025-04-25 07:00:00,BE_Matematico,-1.25,11007.43,5.42,60.3,18.8,True
Buy,2025-04-25 08:50:00,2025-04-29 10:05:00,Take_Profit,226.84,11229.99,3.51,70.3,8.1,True
Sell,2025-05-01 09:10:00,2025-05-01 11:15:00,BE_Matematico,-0.84,11225.82,3.54,19.4,21.7,True
Buy,2025-05-05 16:55:00,2025-05-06 07:00:00,Stop_Loss,-79.56,11142.39,4.26,0.0,39.3,False
Sell,2025-05-08 14:00:00,2025-05-08 15:35:00,Stop_Loss,-78.78,11060.49,4.96,7.0,24.8,False
Sell,2025-05-09 08:55:00,2025-05-09 10:30:00,Stop_Loss,-78.45,10978.0,5.67,3.6,15.2,False
Sell,2025-05-12 16:35:00,2025-05-14 07:00:00,BE_Matematico,-0.56,10975.25,5.7,30.9,72.3,True
Sell,2025-05-14 07:20:00,2025-05-14 10:35:00,Stop_Loss,-77.97,10892.82,6.4,12.7,16.3,False
Buy,2025-05-16 10:50:00,2025-05-16 11:15:00,Stop_Loss,-77.72,10809.32,7.12,0.0,11.0,False
Buy,2025-05-19 14:00:00,2025-05-19 16:05:00,Stop_Loss,-76.39,10730.1,7.8,6.8,23.0,False
Buy,2025-05-19 16:10:00,2025-05-20 15:10:00,Stop_Loss,-75.86,10651.28,8.48,17.4,24.3,False
Sell,2025-05-21 07:00:00,2025-05-21 09:35:00,Stop_Loss,-75.27,10573.2,9.15,7.4,24.3,False
Buy,2025-05-21 10:00:00,2025-05-22 10:30:00,BE_Matematico,-0.58,10570.32,9.17,38.9,28.2,True
Sell,2025-05-23 13:00:00,2025-05-23 14:20:00,Stop_Loss,-74.85,10492.06,9.85,11.9,19.5,False
Sell,2025-05-23 14:25:00,2025-05-26 07:00:00,BE_Matematico,-0.58,10489.17,9.87,58.7,55.8,True
Buy,2025-05-26 07:35:00,2025-05-26 10:10:00,BE_Matematico,-1.86,10479.87,9.95,13.5,11.1,True
Sell,2025-05-28 09:00:00,2025-05-28 10:45:00,Stop_Loss,-74.29,10401.91,10.62,7.7,16.3,False
Buy,2025-05-29 07:55:00,2025-05-29 08:45:00,Stop_Loss,-74.25,10321.99,11.31,2.7,13.9,False
Buy,2025-06-02 13:30:00,2025-06-03 13:30:00,Stop_Loss,-73.03,10245.84,11.96,16.0,19.9,False
Sell,2025-06-03 16:40:00,2025-06-04 15:20:00,BE_Matematico,-0.98,10240.97,12.0,34.1,19.0,True
